Title,Lead Paragraph,URL,Date Published,Companies,Topics,Business Events,Themes,Custom Topics,Industries,Type of Source,Type of Content,Sources,Locations,Content Languages,UUID,Image URL
"Lincoln Property Co., Goldman Sachs Alternatives Break Ground on 497,160 SF Industrial Park Near Nashville","HENDERSONVILLE, TENN. — Lincoln Property Co. (LPC) and Real Estate at Goldman Sachs Alternatives have broken ground on Northside Logistics Park, a five-building industrial park totaling 497,160 square feet. The co-developers recently closed on the land acquisition, which spans 45.6 acres at 157 Molly Walton Drive in Hendersonville, approximately 17 miles northeast of Nashville.",https://rebusinessonline.com/lincoln-property-co-goldman-sachs-alternatives-break-ground-on-497160-sf-industrial-park-near-nashville/,2024-12-06,Goldman Sachs | Lincoln Property Company,M&A Activities | Business Expansion | Robotics,,Warehouse Robotics | Warehouse Management,Growth/Expansion (None) | Mergers & Acquisitions (None) | M&A Activities (None) | Business Updates (None) | M&A (None) | Office/Plant Moves (None) | International (None) | Track (None),Investment Banking & Brokerage,News Websites,News Articles,REBusinessOnline,United States,English,1-82-241207-108561975,https://rebusinessonline.com/wp-content/uploads/2020/09/cropped-REBusiness-logo-512px-32x32.png
Market Chatter: Yes! Communities Explores Potential IPO in 2025,"04:34 PM EST, 12/06/2024 (MT Newswires) -- Yes! Communities, a US manufactured-housing operator backed by Singapore's sovereign wealth fund GIC, is mulling a 2025 initial public offering to raise over $1 billion, Bloomberg reported Friday, citing sources.Yes! is collaborating with Goldman Sachs (GS) and plans to bring on additional underwriters in the coming months.",https://www.fidelity.com/news/article/default/202412061634MIDNIGHTUSEQUITY_A3277443,2024-12-06,Goldman Sachs,Funding Activities,Funding Activities | IPO,,IPO (None) | Capital Acquisition (None) | International (None),Investment Banking & Brokerage,Company Websites,News Articles,Fidelity Investments,Singapore | United States,English,1-82-241207-108657201,https://www.fidelity.com/bin-public/060_www_fidelity_com/images/icon/registration-symbol.png
Goldman Sachs is pulling out of the climate alliance.,"[Translated] Please use a valid e-mail address, such as your name@example.nl Simply create an account OF Are you a subscriber or do you already have an FDMG account?",https://fd.nl/politiek/1539460/goldman-sachs-stapt-uit-klimaat-alliantie,2024-12-06,Goldman Sachs,ESG,,,International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage,News Websites,News Articles,Het Financieele Dagblad,,Nederlands,1-82-241206-108477084,https://fd.nl/img/fd/static/default-share.png
Goldman's leap into Latin America: bank expands credit and trading team,"[Translated] Goldman's leap into Latin America: bank expands credit and trading team in the region. Bank adds five vice presidents to the area in recent months, including one in Brazil (Photo: Nicky Loh/Bloomberg) Goldman Sachs is expanding its Latin America team to boost its fixed income business in the region, including trading government bonds in local currency and private credit.",https://www.bloomberglinea.com.br/negocios/o-salto-do-goldman-em-latam-banco-amplia-time-de-credito-e-trading-na-regiao/,2024-12-06,Goldman Sachs,Hiring,Geographic Expansion,,Hirings (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage | Banks,News Websites,News Articles,Bloomberg Línea,Brazil | Latin America,Português,1-82-241206-108510629,https://www.bloomberglinea.com/resizer/v2/XBAJ7WHNGBBEVOHJYTV5XNL3S4.jpeg?auth=fcd2794b31d6ef0f86455b070b5570390b8f424a6540217162faf6c761e1a0fb&width=1200&height=630&quality=80&smart=true
Goldman Sachs banker wins case over paternity leave dismissal,"A former Goldman Sachs employee who was fired after returning from paternity leave has won his sexual discrimination case. Jon Reeves, who had been working for the firm since 2007, was told “you’re a grown man, you can sort this out” when he raised concerns with his bosses about struggling to manage his work-life balance.",https://employeebenefits.co.uk/tax-and-legislation/goldman-sachs-banker-wins-case-over-paternity-leave-dismissal/280113.article,2024-12-06,Goldman Sachs,Cost Cutting | Regulatory and Legal,,Food Preservation,Cost Cutting (None) | Regulatory Probe/Action (None) | Regulatory and Legal Impact (None) | Legal Action (None) | International (None) | Caretta Research_Monitor Company (None),Retail/ Commercial Bank | Investment Banking & Brokerage,News Websites,News Articles,Employee Benefits,England | United Kingdom | Australia | Global,English,1-82-241206-108427862,https://d1m12snq5oxhll.cloudfront.net/Pictures/1024x536/0/2/6/107026_Goldman-Sachs-web.jpg
"Lebanon’s restructured Eurobonds recovery value could reach 24.6 cents on the dollar, Goldman Sachs says","BEIRUT – Since the assassination of Hezbollah leader Hassan Nasrallah on Sept. 27, investors have developed a particular interest in Lebanon’s defaulted Eurobonds – a debt security issued in a currency other than Lebanon’s local currency – causing those to rally and jump from 6.2 cents to 9.5 cents on the dollar since the end of September, or a 50 percent appreciation in over two months – and the highest in two years.",https://today.lorientlejour.com/article/1438540/lebanons-restructured-eurobonds-recovery-value-could-reach-246-cents-on-the-dollar-goldman-sachs-says.html,2024-12-06,Goldman Sachs,Default (Finance),,,Sports Drinks (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage,News Websites,News Articles,L’Orient Today,Israel | Lebanon,English,1-82-241206-108427832,https://s.lorientlejour.com/storage/attachments/1439/PHOTO-2024-06-10-15-29-28_754310.jpg/r/800/PHOTO-2024-06-10-15-29-28_754310.jpg
"Robinhood Stock Climbs Pre-Market On Goldman Sachs Upgrade And Price-Target Hike, But Retail Views Are Mixed",Analysts have expressed optimism after Robinhood’s first investor day conference where the firm presented a 10-year outlook including initiatives like growing its crypto exchange business and plans to become the top active trading platform within the next two years.,https://stocktwits.com/news-articles/markets/equity/robinhood-stock-rises-premarket-after-goldman-sachs-upgrade/cJ9MWXcRLt,2024-12-06,"Goldman Sachs | Robinhood Markets, Inc",Funding Activities,,,Business Practices (None) | Sustainability and DE&I (None) | Capital Acquisition (None) | International (None),Investment Banking & Brokerage | Cryptocurrency Exchanges,Company Websites,News Articles,StockTwits,Asia,English,1-82-241206-108417083,https://st-everywhere-cms-prod.s3.us-east-1.amazonaws.com/robinhood_resized_35e44ddd93.jpg
"Report: By 2030, Replacing EV Battery Will Cost Less Than Fixing Gas Engine","NEW YORK – Goldman Sachs recently reported that by 2026, battery prices should reach $80/kWh, which is roughly 50% the 2023 price. Let that sink in for a moment: the cost has dropped by almost half in 3 years.",https://mitechnews.com/update/report-by-2030-replacing-ev-battery-will-cost-less-than-fixing-gas-engine/,2024-12-06,Goldman Sachs,,,,Petrochemicals (None) | Batteries updates (None) | International (None),Investment Banking & Brokerage,News Websites,News Articles,MITech News,,English,1-82-241207-108606042,https://mitechnews.com/wp-content/uploads/2024/12/BatteryReplacement.jpeg-.webp
"Goldman Sachs sees gold prices hit $3,000 by December 2025","AI Generated Summary Goldman Sachs has projected that gold prices could reach as high as $3,000 per ounce by December 2025, driven by increased central bank demand and US interest rate cuts. As the gold market sees a potential surge, Nigeria has made a significant move by signing a Memorandum of Understanding with France to promote and diversify the critical minerals value chain in the solid minerals sector.",https://www.cnbcafrica.com/media/6365633651112/,2024-12-06,Goldman Sachs,Regulatory and Legal,Pricing Changes,,Regulatory Probe/Action (None) | Regulatory and Legal Impact (None) | Legal Action (None) | International (None),Gold | Investment Banking & Brokerage | Banks,News Websites,News Articles,CNBC Africa,France | United States | Nigeria | Burkina Faso | Global,English,1-82-241207-108663524,https://cf-images.eu-west-1.prod.boltdns.net/v1/jit/1571595826001/395e1e2e-138c-4a81-a00f-efaee4d0d261/main/1280x720/3m14s112ms/match/image.jpg
Verdalia Acquires Five Biomethane Plants in Northern Italy,"Verdalia Bioenergy, a European biomethane company supported by Goldman Sachs Alternatives infrastructure funds, has reached an agreement for the acquisition of 5 greenfield biomethane plants in Italy from funds controlled by Green Arrow Capital, one of the leading independent Italian operators in the alternative investment landscape, and by Lazzari&Lucchini, a company specialized in energy production.",https://born2invest.com/articles/verdalia-biomethane-plants-northern-italy/,2024-12-06,Goldman Sachs | Green Arrow Capital | Bioenergy Corporation,M&A Activities,M&A Activities,,Mergers & Acquisitions (None) | Track (None) | M&A Activities (None) | M&A (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage | Energy Equipment & Services,News Websites,News Articles,Born2Invest,Italy | Global | Europe,English,1-82-241207-108568767,https://born2invest.com/wp-content/uploads/2024/12/money-back-up-4518407_1280-1000x600.jpg
"Goldman explores options for platform clients use to launch ETFs, source says","(Reuters) - Goldman Sachs ( GS ) is exploring options, including a potential sale, for its ETF Accelerator platform designed to help the bank's institutional clients launch their own exchange-traded funds, a source familiar with the matter told Reuters on Friday.",https://www.fidelity.com/news/article/company-news/202412061357RTRSNEWSCOMBINED_KCN3D11DR-OUSBS_1,2024-12-06,Goldman Sachs,M&A Activities | New Offerings,M&A Activities | New Product/Service Launches,,New Offerings (None) | Mergers & Acquisitions (None) | Business Updates (None) | Product Launch (None) | M&A (None) | Products & Services (None) | India (None) | M&A Activities (None),Asset Management/ Mutual Funds | Banks,Company Websites,News Articles,Fidelity Investments,India | United States,English,1-82-241207-108575444,https://www.fidelity.com/bin-public/060_www_fidelity_com/images/icon/registration-symbol.png
Goldman Sachs exits climate alliance for banks,"Goldman Sachs Group signage on the floor of the New York Stock Exchange in New York on June 28, 2024. Bloomberg News Goldman Sachs Group is walking away from the world's biggest climate alliance for banks, in the latest sign that Wall Street is recalibrating its affiliation with such groups.",https://www.americanbanker.com/articles/goldman-sachs-exits-climate-alliance-for-banks,2024-12-06,Goldman Sachs | Goldman Sachs Group Inc,,,,Business Practices (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage | Banks,Press Release Agencies,Press Releases,EIN News,United States,English,1-82-241207-108572680,
Goldman Sachs Exits Net-Zero Banking Alliance Amid Regulatory Pressures,"Goldman Sachs Group ( GS , Financial ) has formally separated from the Net Zero Banking Alliance, cementing a shift in how it approaches climate pledges. The move comes after fragmented environmental, social, and governance (ESG) standards in jurisdictions.",https://finance.yahoo.com/news/goldman-sachs-exits-net-zero-180548630.html,2024-12-06,Goldman Sachs | Goldman Sachs Group Inc,Regulatory and Legal | Demerger/Spin Off,Regulatory Actions/ Probes,,Demerger/Spin Off (None) | Regulatory Probe/Action (None) | Sustainability and DE&I (None) | International (None) | Caretta Research_Monitor Company (None) | Legal Action (None) | Regulatory and Legal Impact (None),Investment Banking & Brokerage | Banks | Construction & Materials,News Websites,News Articles,Yahoo,,English,1-82-241206-108542503,https://s.yimg.com/dv/static/siteApp/img/privacy-choice-control.png
Solana and Ethereum on the Verge of a Major Breakout in the Coming Weeks – Raoul Pal,"Raoul Pal, a former Goldman Sachs executive and macroeconomic expert, has expressed strong optimism about the potential of Solana (SOL), a major competitor to Ethereum (ETH). The post Solana and Ethereum on the Verge of a Major Breakout in the Coming Weeks – Raoul Pal appeared first on Cryptodnes.",https://cryptopanic.com/news/20373807/Solana-and-Ethereum-on-the-Verge-of-a-Major-Breakout-in-the-Coming-Weeks-Raoul-Pal,2024-12-06,Goldman Sachs | ZigiDeal,New Offerings,,Cryptocurrency,New Offerings (None) | Business Updates (None) | Product Launch (None) | Products & Services (None) | International (None) | Caretta Research_Monitor Company (None),Cryptocurrency Exchanges,Company Websites,News Articles,ZigiDeal,,English,1-82-241206-108339256,https://cryptodnes.bg/wp-content/uploads/2022/07/favicon.png
"Trading App eToro Plans IPO, Hires Goldman Sachs","Stock and crypto trading app eToro has hired Goldman Sachs as it plans for a U.S. initial public offering, Bloomberg reported. The company could go public as soon as the second quarter next year, and more banks may be added as advisers, the outlet said.",https://www.theinformation.com/briefings/trading-app-etoro-plans-ipo-hires-goldman-sachs,2024-12-06,Goldman Sachs | eToro,Procurement and Sales | Funding Activities,Funding Activities | IPO,,Quarterly Updates (None) | Procurement and sales (None) | IPO (None) | International (None) | Capital Acquisition (None) | Business Practices (None) | Client Wins (None),Investment Banking & Brokerage | Cryptocurrency Exchanges | Banks,News Websites,News Articles,The Information,,English,1-82-241206-108498089,https://tii.imgix.net/global/defaults/article_image_unavailable.jpg
Wall Street: China to cut interest rates by 40 basis points next year,"[Translated] Many Wall Street banks expect the biggest rate cut in a decade from the People's Bank of China next year, as policymakers step up efforts to boost economic growth and counter deflationary pressures. The Bank of China is expected to cut its key policy rate by 40 basis points in 2025, according to forecasts from institutions such as Goldman Sachs and Morgan Stanley.",https://www.enanyang.my/%E5%9B%BD%E9%99%85%E8%B4%A2%E7%BB%8F/%E5%8D%8E%E5%B0%94%E8%A1%97%E5%B9%85%E5%BA%A6%E5%8D%81%E5%B9%B4%E6%9C%80%E5%A4%A7-%E4%B8%AD%E5%9B%BD%E6%98%8E%E5%B9%B4%E6%96%99%E9%99%8D%E6%81%AF40%E5%9F%BA%E7%82%B9,2024-12-06,People's Bank of China | Goldman Sachs | Bank of China Ltd | Morgan Stanley,Regulatory and Legal,,,Regulatory Probe/Action (None) | Regulatory and Legal Impact (None) | Legal Action (None) | International (None) | Caretta Research_Monitor Company (None),Retail/ Commercial Bank,News Websites,News Articles,Nanyang Siang Pau,China | Japan,简体中文,1-82-241206-108316036,https://www.enanyang.my/sites/default/files/styles/facebook/public/2024-06/bank_of_china2.jpg?h=7c295aee&itok=CZJtpRkP
Goldman Sachs' Jan Hatzius on why the Fed will likely cut rates this month,"Goldman Sachs Chief Economist Jan Hatzius joins us here at Post 9 to breakdown what it all means for stocks and, of course, the Fed. Jan, always great to see you. Does this materially change your view of what the Fed does next week or week plus? No, I think at the margin, it probably confirms that a cut is likely in December.",https://www.msn.com/en-us/money/news/goldman-sachs-jan-hatzius-on-why-the-fed-will-likely-cut-rates-this-month/vi-AA1voFNP,2024-12-06,Goldman Sachs,Regulatory and Legal,Regulatory Actions/ Probes,,Regulatory Probe/Action (None) | Regulatory and Legal Impact (None) | Petrochemicals (None) | Legal Action (None) | International (None) | Caretta Research_Monitor Company (None) | Business Practices (None),Investment Banking & Brokerage,News Websites,News Articles,MSN (US),China,English,1-82-241206-108513863,
Macro Guru Raoul Pal Says Top Ethereum Rival Has a Massively Bullish Chart and Will Accelerate After Breakout,Former Goldman Sachs executive and macro expert Raoul Pal is leaning bullish on a large-cap Ethereum (ETH) competitor. Pal tells his 1.1 million followers on the social media platform X that there “literally couldn’t be a more bullish long-term chart” than that of Solana (SOL) on the weekly time...,https://cryptopanic.com/news/20373463/Macro-Guru-Raoul-Pal-Says-Top-Ethereum-Rival-Has-a-Massively-Bullish-Chart-and-Will-Accelerate-After-Breakout,2024-12-06,Goldman Sachs | ZigiDeal,New Offerings,,Cryptocurrency,New Offerings (None) | Business Updates (None) | Product Launch (None) | Products & Services (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage,Company Websites,News Articles,ZigiDeal,,English,1-82-241206-108284929,https://dailyhodl.com/wp-content/uploads/2019/12/cropped-TDHLds.png?w=270
Goldman Sachs pulls out of global climate coalition,"Goldman Sachs has left one of the top international green energy banking alliances without any explanation, a signal of diminishing interest on Wall Street in climate activism amid significant pushback from Republicans. The U.S. financial firm confirmed its departure from the United Nations-backed Net-Zero Banking Alliance on Friday, according to Reuters.",https://www.msn.com/en-us/money/markets/goldman-sachs-pulls-out-of-global-climate-coalition/ar-AA1voR9Y,2024-12-06,Goldman Sachs,Regulatory and Legal,,Energy Transition,Regulatory Probe/Action (None) | Regulatory and Legal Impact (None) | Corporate  - Circular Economy (None) | Sustainability and DE&I (None) | Legal Action (None) | International (None) | Petrochemicals (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage | Banks,News Websites,News Articles,MSN (US),United States,English,1-82-241207-108704498,
News24 Business | Business brief | Matric Live wins FNB's app of the year; Goldman Sachs quits bank climate coalition,© 2008-2024 One News Page Ltd. All rights reserved. One News® is a registered trademark of One News Page Ltd.,https://www.onenewspage.com/n/Business/1zqyuu4lit/News24-Business-Business-brief-Matric-Live.htm,2024-12-06,Goldman Sachs,Awards and Recognitions,Awards & Recognitions,,Reputation (None) | Copyright/Trademark (None) | Awards (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage | Banks,News Websites,News Articles,One News Page,,English,1-82-241206-108459333,https://cdn.newsserve.net/ONPglobe256.png
Matric Live wins FNB's app of the year; Goldman Sachs quits bank climate coalition,"0:00 Read this for free South Africans need to be in the know if we want to create a prosperous future. News24 has kept the country informed for 25 years, and we're about to enter a new chapter of fearless journalism.",https://www.news24.com/fin24/companies/business-brief-matric-live-wins-fnbs-app-of-the-year-goldman-sachs-quits-bank-climate-coalition-20241206,2024-12-06,Goldman Sachs,Awards and Recognitions | ESG,Awards & Recognitions,,Reputation (None) | Awards (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage | Banks,News Websites,News Articles,News24,,English,1-82-241206-108500256,https://cdn.24.co.za/files/Cms/General/d/8643/1b4efa9922ad471fb1cef9ceb49c54db.jpg
Sellers of Toxic Fertilizer Ask Congress: Protect Us From Lawsuits Sellers of Toxic Fertilizer Ask Congress: Protect Us From Lawsuits,"For decades, a little-known company now owned by a Goldman Sachs fund has been making millions of dollars from the unlikely dredges of American life: sewage sludge. The company, Synagro, sells farmers treated sludge from factories and homes to use as fertilizer.",https://www.nytimes.com/2024/12/06/climate/sludge-fertilizer-synagro-lobbying.html,2024-12-06,Goldman Sachs,Regulatory and Legal | Negative News | Divestiture,Negative News,,Regulatory Probe/Action (None) | Lawsuits/Settlements (None) | Regulatory and Legal Impact (None) | Legal Action (None) | International (None),Fertilizers & Agricultural Chemicals,News Websites,News Articles,The New York Times,United States,English,1-82-241206-108266321,https://static01.nyt.com/images/2024/12/02/multimedia/00CLI-SLUDGE-LOBBYING-promo-thql/00CLI-SLUDGE-LOBBYING-promo-thql-facebookJumbo.jpg
"How Goldman Sachs' ""outstanding"" VP ruined his career with a holiday","When Jon Reeves, a vice president in Goldman Sachs' London compliance control room, was appraised in 2018, things seemed to be going well for him. Reeves was deemed ""outstanding"" by 87% of the Goldman people who gave him feedback.",https://www.efinancialcareers.com/news/goldman-sachs-paternity-leave,2024-12-06,Goldman Sachs,,,,International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage,Company Websites,News Articles,eFinancialCareers,England | United Kingdom,English,1-82-241206-108429305,
Trading platform eToro taps Goldman Sachs as it plans US IPO - Bloomberg News,-- Source link: https://tinyurl.com/23rrod95 -- Note: Reuters has not verified this story and does not vouch for its accuracy,"https://in.tradingview.com/news/reuters.com,2024:newsml_L3N3N70UN:0-trading-platform-etoro-taps-goldman-sachs-as-it-plans-us-ipo-bloomberg-news/",2024-12-06,Goldman Sachs | eToro,Procurement and Sales,IPO,,Procurement and sales (None) | IPO (None) | Client Wins (None) | International (None) | Caretta Research_Monitor Company (None),Investment Banking & Brokerage,News Websites,News Articles,TradingView,United States,English,1-82-241206-108414413,https://s.tradingview.com/static/images/illustrations/news-story.jpg
"AMC to offer 50 million shares, stock falls pre-market","AMC Entertainment (NYSE: ) Holdings Inc. experienced a 7.5% drop in pre-open trading on Friday after the company announced its intention to offer 50 million shares. The company, known for its chain of movie theaters, disclosed an agreement with Goldman Sachs & Co (NYSE: ).",https://in.investing.com/news/stock-market-news/amc-to-offer-50-million-shares-stock-falls-premarket-93CH-4562110,2024-12-06,Goldman Sachs | AMC Theatres,Funding Activities,,,Business Practices (None) | Capital Acquisition (None) | International (None),Investment Banking & Brokerage | Asset Management/ Mutual Funds,News Websites,News Articles,Investing India,,English,1-82-241206-108395786,https://i-invdn-com.investing.com/news/AMCEntertainment_800x533_L_1653396854.jpg
